unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location.latitude,location.longitude,location.human_address,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,facility_type,road_ramp,due_date,vehicle_type,taxi_company_borough
51936124,2021-09-21T09:50:58Z,2021-09-21T10:30:55Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1440 BRONX RIVER AVENUE,BRONX RIVER AVENUE,EAST  174 STREET,CROSS BRONX EXPRESSWAY,EAST  174 STREET,CROSS BRONX EXPRESSWAY,ADDRESS,BRONX,BRONX RIVER AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2021-09-21T14:30:58Z,09 BRONX,2038860002,BRONX,1018350,244028,PHONE,Unspecified,BRONX,40.83640996716858,-73.8767677958657,40.83640996716858,-73.8767677958657,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936125,2021-09-21T12:43:53Z,2021-09-21T13:53:04Z,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10456,1042 COLLEGE AVENUE,COLLEGE AVENUE,EAST  165 STREET,EAST  166 STREET,EAST  165 STREET,EAST  166 STREET,ADDRESS,BRONX,COLLEGE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T17:53:07Z,04 BRONX,2024330011,BRONX,1007760,241641,ONLINE,Unspecified,BRONX,40.82989288400406,-73.91504677872729,40.82989288400406,-73.91504677872729,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936126,2021-09-21T10:30:58Z,2021-09-21T11:16:56Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11375,110-69 63 AVENUE,63 AVENUE,110 STREET,GRAND CENTRAL PARKWAY,110 STREET,GRAND CENTRAL PARKWAY,ADDRESS,FOREST HILLS,63 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T15:16:59Z,06 QUEENS,4021800042,QUEENS,1026958,207609,MOBILE,Unspecified,QUEENS,40.73641227809357,-73.84589139748849,40.73641227809357,-73.84589139748849,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936127,2021-09-21T12:38:28Z,2021-09-21T13:02:17Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,1564 EAST    7 STREET,EAST    7 STREET,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,BROOKLYN,EAST    7 STREET,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2021-09-21T17:02:21Z,12 BROOKLYN,3065880042,BROOKLYN,993429,162572,ONLINE,Unspecified,BROOKLYN,40.61289423172138,-73.9669395716049,40.61289423172138,-73.9669395716049,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936128,2021-09-21T10:51:02Z,2021-09-21T11:23:14Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11224,2865 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   23 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T15:23:19Z,13 BROOKLYN,3070160114,BROOKLYN,987027,149027,ONLINE,Unspecified,BROOKLYN,40.57572025082376,-73.99000351771909,40.57572025082376,-73.99000351771909,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936129,2021-09-21T11:43:55Z,2021-09-21T13:09:58Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,140-40 QUEENS BOULEVARD,QUEENS BOULEVARD,HILLSIDE AVENUE,JAMAICA AVENUE,HILLSIDE AVENUE,JAMAICA AVENUE,ADDRESS,JAMAICA,QUEENS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T17:10:02Z,12 QUEENS,4096190024,QUEENS,1035599,195558,ONLINE,Unspecified,QUEENS,40.70328931279954,-73.81480302028613,40.70328931279954,-73.81480302028613,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936130,2021-09-21T09:48:25Z,2021-09-21T13:06:59Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10456,724 EAST  158 STREET,EAST  158 STREET,JACKSON AVENUE,FOREST AVENUE,JACKSON AVENUE,FOREST AVENUE,ADDRESS,BRONX,EAST  158 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T17:07:02Z,01 BRONX,2026460116,BRONX,1010220,237901,ONLINE,Unspecified,BRONX,40.81962076162456,-73.9061720680657,40.81962076162456,-73.9061720680657,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936131,2021-09-21T12:46:50Z,2021-09-21T13:18:08Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11366,77-45 160 STREET,160 STREET,77 ROAD,78 AVENUE,77 ROAD,78 AVENUE,ADDRESS,FRESH MEADOWS,160 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T17:18:15Z,08 QUEENS,4068390001,QUEENS,1037472,202752,ONLINE,Unspecified,QUEENS,40.723024013273715,-73.80799094600508,40.723024013273715,-73.80799094600508,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936132,2021-09-21T11:25:47Z,2021-09-21T12:00:48Z,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,443 WEST  162 STREET,WEST  162 STREET,JUMEL TERRACE,ST NICHOLAS AVENUE,JUMEL TERRACE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  162 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T16:00:52Z,12 MANHATTAN,1021100050,MANHATTAN,1001186,243619,MOBILE,Unspecified,MANHATTAN,40.83533697611038,-73.93879687885118,40.83533697611038,-73.93879687885118,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936133,2021-09-21T11:55:40Z,2021-09-21T12:21:54Z,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10305,850 HYLAN BOULEVARD,HYLAN BOULEVARD,NA,SAND LANE,NA,SAND LANE,ADDRESS,STATEN ISLAND,HYLAN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T16:21:58Z,02 STATEN ISLAND,5030950021,STATEN ISLAND,964301,157517,PHONE,Unspecified,STATEN ISLAND,40.59900159156934,-74.07183629134022,40.59900159156934,-74.07183629134022,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936134,2021-09-21T11:40:10Z,2021-09-21T12:14:25Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10009,290 EAST FOURTH STREET,EAST FOURTH STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST    4 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T16:14:29Z,03 MANHATTAN,1003860033,MANHATTAN,989996,202284,MOBILE,Unspecified,MANHATTAN,40.72189770233355,-73.97927051772604,40.72189770233355,-73.97927051772604,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936135,2021-09-21T10:52:29Z,2021-09-21T12:33:19Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11204,46 AVENUE O,AVENUE O,WEST   10 STREET,WEST    9 STREET,WEST   10 STREET,WEST    9 STREET,ADDRESS,BROOKLYN,AVENUE O,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T16:33:23Z,11 BROOKLYN,3065970006,BROOKLYN,988840,161612,PHONE,Unspecified,BROOKLYN,40.610262794850286,-73.98346863687392,40.610262794850286,-73.98346863687392,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936136,2021-09-21T11:41:08Z,2021-09-21T13:10:51Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10472,1331 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,ADDRESS,BRONX,COMMONWEALTH AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T17:10:54Z,09 BRONX,2038740062,BRONX,1020593,242956,ONLINE,Unspecified,BRONX,40.8334586943729,-73.86866775565734,40.8334586943729,-73.86866775565734,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936137,2021-09-21T09:18:23Z,2021-09-21T10:08:53Z,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11233,1870 PARK PLACE,PARK PLACE,SARATOGA AVENUE,EASTERN PARKWAY,SARATOGA AVENUE,EASTERN PARKWAY,ADDRESS,BROOKLYN,PARK PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T14:08:57Z,16 BROOKLYN,NA,BROOKLYN,1007595,183947,ONLINE,Unspecified,BROOKLYN,40.67153798884769,-73.91584329324714,40.67153798884769,-73.91584329324714,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936139,2021-09-21T13:25:27Z,1900-01-01T00:00:00Z,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11385,1502 DEKALB AVENUE,DEKALB AVENUE,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,RIDGEWOOD,DEKALB AVENUE,In Progress,NA,NA,05 QUEENS,NA,QUEENS,1007512,197000,ONLINE,Unspecified,QUEENS,40.70736567308284,-73.91609743064053,40.70736567308284,-73.91609743064053,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936140,2021-09-21T12:16:05Z,2021-09-21T14:11:08Z,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11373,59 AVENUE,59 AVENUE,59 AVENUE,QUEENS BOULEVARD,59 AVENUE,QUEENS BOULEVARD,INTERSECTION,NA,NA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T18:11:11Z,04 QUEENS,NA,QUEENS,1020176,206536,PHONE,Unspecified,QUEENS,40.733497309506575,-73.87036942449794,40.733497309506575,-73.87036942449794,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936141,2021-09-21T13:13:34Z,2021-09-21T15:53:59Z,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11102,24-20 23 STREET,23 STREET,24 AVENUE,24 ROAD,24 AVENUE,24 ROAD,ADDRESS,ASTORIA,23 STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T19:54:02Z,01 QUEENS,4008740084,QUEENS,1006050,221743,MOBILE,Unspecified,QUEENS,40.775282740123025,-73.92129045446494,40.775282740123025,-73.92129045446494,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936142,2021-09-21T12:51:06Z,2021-09-21T23:01:51Z,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11414,160-35 90 STREET,90 STREET,160 AVENUE,161 AVENUE,160 AVENUE,161 AVENUE,ADDRESS,HOWARD BEACH,90 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-22T03:01:55Z,10 QUEENS,4140280051,QUEENS,1028055,178476,PHONE,Unspecified,QUEENS,40.656443735399414,-73.84212243056166,40.656443735399414,-73.84212243056166,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936143,2021-09-21T13:25:00Z,2021-09-21T15:09:55Z,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11207,242 JEROME STREET,JEROME STREET,ATLANTIC AVENUE,LIBERTY AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,JEROME STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T19:09:58Z,05 BROOKLYN,3039650030,BROOKLYN,1015464,185616,MOBILE,Unspecified,BROOKLYN,40.67609476747434,-73.88746852661966,40.67609476747434,-73.88746852661966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936144,2021-09-21T12:33:50Z,2021-09-21T13:30:21Z,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11210,AVENUE J,AVENUE J,AVENUE J,OCEAN AVENUE,AVENUE J,OCEAN AVENUE,INTERSECTION,NA,NA,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2021-09-21T17:30:25Z,14 BROOKLYN,NA,BROOKLYN,996355,167250,PHONE,Unspecified,BROOKLYN,40.62573085298812,-73.95639247601798,40.62573085298812,-73.95639247601798,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936145,2021-09-21T11:44:50Z,1900-01-01T00:00:00Z,DOHMH,Department of Health and Mental Hygiene,Day Care,Day Care Facility,Apartment,11230,1201 AVENUE K,AVENUE K,EAST   12 STREET,EAST   13 STREET,EAST   12 STREET,EAST   13 STREET,ADDRESS,BROOKLYN,AVENUE K,In Progress,NA,NA,14 BROOKLYN,3067140041,BROOKLYN,994359,166075,ONLINE,Unspecified,BROOKLYN,40.6225082267465,-73.96358470298985,40.6225082267465,-73.96358470298985,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936148,2021-09-21T13:31:00Z,1900-01-01T05:00:00Z,DSNY,Department of Sanitation,Missed Collection (All Materials),2 Bulk-Missed Collection,Sidewalk,11209,550 74 STREET,74 STREET,5 AVENUE,6 AVENUE,NA,NA,ADDRESS,BROOKLYN,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,10 BROOKLYN,3059310029,BROOKLYN,978407,168705,ONLINE,Unspecified,BROOKLYN,40.62973086502943,-74.0210503119421,40.62973086502943,-74.0210503119421,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51936149,2021-09-21T12:43:00Z,1900-01-01T05:00:00Z,DSNY,Department of Sanitation,Missed Collection (All Materials),1 Missed Collection,Sidewalk,10467,3859 CARPENTER AVENUE,CARPENTER AVENUE,EAST 221 STREET,EAST 222 STREET,NA,NA,ADDRESS,BRONX,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,12 BRONX,2046530073,BRONX,1021634,262133,ONLINE,Unspecified,BRONX,40.88608938553802,-73.86479895306637,40.88608938553802,-73.86479895306637,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,DSNY Garage,NA,NA,NA,NA
51936150,2021-09-21T09:26:50Z,2021-09-21T10:30:44Z,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11222,151 INDIA STREET,INDIA STREET,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,ADDRESS,BROOKLYN,INDIA STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T14:30:48Z,01 BROOKLYN,3025330058,BROOKLYN,997049,206116,ONLINE,Unspecified,BROOKLYN,40.73240821484504,-73.95381856900755,40.73240821484504,-73.95381856900755,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936151,2021-09-21T12:57:41Z,2021-09-21T13:34:55Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10014,2 CHARLTON STREET,CHARLTON STREET,AVENUE OF THE AMERICAS,VARICK STREET,AVENUE OF THE AMERICAS,VARICK STREET,ADDRESS,NEW YORK,CHARLTON STREET,Closed,The Police Department issued a summons in response to the complaint.,2021-09-21T17:34:57Z,02 MANHATTAN,1005060027,MANHATTAN,983207,204135,MOBILE,Unspecified,MANHATTAN,40.7269800530374,-74.00376305233803,40.7269800530374,-74.00376305233803,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936153,2021-09-21T13:06:32Z,2021-09-21T13:46:40Z,NYPD,New York City Police Department,Drug Activity,Use Indoor,Stairwell,10454,353 EAST  141 STREET,EAST  141 STREET,ALEXANDER AVENUE,WILLIS AVENUE,ALEXANDER AVENUE,WILLIS AVENUE,ADDRESS,BRONX,EAST  141 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T17:46:41Z,01 BRONX,2023040001,BRONX,1005921,234807,PHONE,Unspecified,BRONX,40.81114019362707,-73.92171405838272,40.81114019362707,-73.92171405838272,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936154,2021-09-21T11:49:39Z,1900-01-01T00:00:00Z,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11357,149-27 POWELLS COVE BOULEVARD,POWELLS COVE BOULEVARD,SAMOS LANE,149 PLACE,SAMOS LANE,149 PLACE,ADDRESS,WHITESTONE,2 AVENUE,In Progress,NA,NA,07 QUEENS,4044870011,QUEENS,1033882,230596,PHONE,Unspecified,QUEENS,40.79946934759861,-73.8207369835812,40.79946934759861,-73.8207369835812,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936155,2021-09-21T09:31:50Z,1900-01-01T00:00:00Z,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Ventilation,Other (Explain Below),11379,66-06 70 STREET,70 STREET,JUNIPER VALLEY ROAD,66 ROAD,JUNIPER VALLEY ROAD,66 ROAD,ADDRESS,MIDDLE VILLAGE,70 STREET,In Progress,NA,NA,05 QUEENS,4030487502,QUEENS,1016108,199589,PHONE,Unspecified,QUEENS,40.71444508262168,-73.88508071895389,40.71444508262168,-73.88508071895389,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936156,2021-09-21T10:45:55Z,1900-01-01T00:00:00Z,DOE,Department of Education,School Maintenance,Air Conditioning Problem,School,11220,550 59 STREET,59 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,59 STREET,In Progress,NA,NA,07 BROOKLYN,3008640001,BROOKLYN,980240,172222,ONLINE,Unspecified,BROOKLYN,40.639385302228646,-74.0144487358011,40.639385302228646,-74.0144487358011,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936157,2021-09-21T12:58:48Z,1900-01-01T00:00:00Z,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11226,2110 NEWKIRK AVENUE,NEWKIRK AVENUE,EAST   21 STREET,EAST   22 STREET,EAST   21 STREET,EAST   22 STREET,ADDRESS,BROOKLYN,NEWKIRK AVENUE,In Progress,NA,NA,14 BROOKLYN,3052210043,BROOKLYN,996043,171835,MOBILE,Unspecified,BROOKLYN,40.63831612684608,-73.95750842466687,40.63831612684608,-73.95750842466687,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936158,2021-09-21T14:02:57Z,1900-01-01T00:00:00Z,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10017,205 EAST   45 STREET,EAST   45 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   45 STREET,In Progress,NA,NA,06 MANHATTAN,1013197503,MANHATTAN,991830,213445,PHONE,Unspecified,MANHATTAN,40.75253050341578,-73.97264153626523,40.75253050341578,-73.97264153626523,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,"205 EAST   45 STREET, MANHATTAN (NEW YORK), NY, 10017",NA,NA,NA,NA,NA
51936160,2021-09-21T12:05:55Z,1900-01-01T00:00:00Z,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11433,104-10 164 STREET,164 STREET,TUSKEGEE AIRMEN WAY,104 ROAD,TUSKEGEE AIRMEN WAY,104 ROAD,ADDRESS,JAMAICA,164 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2021-09-21T17:17:25Z,12 QUEENS,4101610009,QUEENS,1041732,194377,ONLINE,Unspecified,QUEENS,40.700010038718055,-73.79269370075133,40.700010038718055,-73.79269370075133,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936161,2021-09-21T13:44:34Z,1900-01-01T00:00:00Z,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11215,434 8 STREET,8 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,8 STREET,In Progress,NA,NA,06 BROOKLYN,3010900013,BROOKLYN,989759,182298,UNKNOWN,Unspecified,BROOKLYN,40.66704091808898,-73.9801418731081,40.66704091808898,-73.9801418731081,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936162,2021-09-21T12:13:58Z,2021-09-21T15:49:15Z,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11105,20-75 38 STREET,38 STREET,20 ROAD,21 AVENUE,20 ROAD,21 AVENUE,ADDRESS,ASTORIA,38 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2021-09-21T19:49:19Z,01 QUEENS,4008090001,QUEENS,1010783,221816,ONLINE,Unspecified,QUEENS,40.77547016591738,-73.90420154197798,40.77547016591738,-73.90420154197798,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936163,2021-09-21T13:29:00Z,1900-01-01T05:00:00Z,DSNY,Department of Sanitation,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10012,1 WASHINGTON SQUARE VILLAGE,WASHINGTON SQUARE VILLAGE,MERCER STREET,LA GUARDIA PLACE,NA,NA,ADDRESS,NEW YORK,NA,Open,The Department of Sanitation is in the process of investigating this complaint.,NA,02 MANHATTAN,1005330001,MANHATTAN,984941,204912,ONLINE,Unspecified,MANHATTAN,40.72911276304618,-73.99750685293887,40.72911276304618,-73.99750685293887,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,N/A,NA,NA,NA,NA
51936164,2021-09-21T09:46:23Z,2021-09-22T01:04:20Z,DHS,Department of Homeless Services,Homeless Person Assistance,NA,Subway,NA,NA,NA,NA,NA,NA,NA,ADDRESS,NA,NA,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2021-09-22T01:04:20Z,Unspecified MANHATTAN,NA,MANHATTAN,NA,216129,MOBILE,Unspecified,MANHATTAN,NA,NA,NA,NA,NA,N,NA,Stairway,NA,NA,NA,NA,NA,NA
51936165,2021-09-21T12:40:52Z,2021-09-21T13:14:13Z,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,11366,76-36 164 STREET,164 STREET,76 ROAD,77 AVENUE,76 ROAD,77 AVENUE,ADDRESS,FRESH MEADOWS,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2021-09-21T17:14:17Z,08 QUEENS,4068480001,QUEENS,1038334,203443,ONLINE,Unspecified,QUEENS,40.724915407989414,-73.80487556506887,40.724915407989414,-73.80487556506887,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936166,2021-09-21T13:53:45Z,2021-09-21T14:53:19Z,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11216,BERGEN STREET,BERGEN STREET,BERGEN STREET,NOSTRAND AVENUE,BERGEN STREET,NOSTRAND AVENUE,INTERSECTION,NA,NA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2021-09-21T18:53:22Z,08 BROOKLYN,NA,BROOKLYN,998143,185600,PHONE,Unspecified,BROOKLYN,40.67609498046784,-73.94991351893904,40.67609498046784,-73.94991351893904,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936167,2021-09-21T13:28:06Z,2021-09-21T13:31:25Z,DHS,Department of Homeless Services,Homeless Person Assistance,NA,Street/Sidewalk,10003,117 2 AVENUE,2 AVENUE,EAST 6 STREET,NICHOLAS FIGUEROA WAY,EAST    6 STREET,NICHOLAS FIGUEROA WAY,ADDRESS,NEW YORK,2 AVENUE,Closed,The Department of Homeless Services did not have enough information to act on your request.,2021-09-21T13:31:25Z,03 MANHATTAN,1004620023,MANHATTAN,987523,204469,MOBILE,Unspecified,MANHATTAN,40.727896257617374,-73.98819114125523,40.727896257617374,-73.98819114125523,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
51936168,2021-09-21T11:11:15Z,2021-09-21T13:23:32Z,NYPD,New York City Police Department,Encampment,N/A,Park/Playground,11222,415 LEONARD STREET,LEONARD STREET,RICHARDSON STREET,BAYARD STREET,RICHARDSON STREET,BAYARD STREET,ADDRESS,BROOKLYN,LEONARD STREET,Closed,The Police Department visited the location and no Encampment was found.,2021-09-21T17:23:35Z,01 BROOKLYN,3027227501,BROOKLYN,998522,201227,ONLINE,Unspecified,BROOKLYN,40.71898684605449,-73.94851405080547,40.71898684605449,-73.94851405080547,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",NA,NA,NA,NA,NA,NA,NA,NA,NA
